case_name,sent_text,label,hdr_title,hdr_match,hdr_group,y_labelled
ECLI:NL:GHARL:2016:7748.txt,"Bij voormeld tussenarrest heeft het hof partijen in de gelegenheid gesteld zich uit te laten over de vraag of de overeenkomst (mede) gekwalificeerd dient te worden als pacht en of in dat geval verwijzing naar de pachtkamer dient te volgen. 2.2 [appellant] heeft bij akte na tussenarrest kort weergegeven aangevoerd dat met name blijkens de afspraken omtrent investeringen en delen van de winst geen sprake is van zuivere pacht maar van een samenwerking op zoveel mogelijk gelijke basis, waarbij beiden zeggenschap hadden omtrent de (wijze van) samenwerking, zijnde de bessenteelt, en dat het hof is gebonden aan het bevoegdheidsoordeel van de rechtbank.",None,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,0
ECLI:NL:GHARL:2016:7748.txt,Ter onderbouwing van zijn stelling dat er geen sprake is van zuivere pacht verwijst [appellant] naar een (als productie 13 overgelegd) e-mailbericht van [datum] [geïntimeerde] heeft bij akte na tussenarrest in de kern aangevoerd dat de rechtsverhouding tussen partijen niet als pacht kwalificeert omdat beide partijen ondernemersrisico lopen en dat de goede procesorde zich verzet tegen verwijzing naar de pachtkamer.,proceshandelingen,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,Ook volgens [geïntimeerde] is het hof gebonden aan het impliciete bevoegdheidsoordeel van de rechtbank. 2.3 Naar het oordeel van het hof dient de tussen partijen bestaande rechtsverhouding niettemin (mede) te worden gekwalificeerd als pacht.,None,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,0
ECLI:NL:GHARL:2016:7748.txt,Hetgeen [appellant] met verwijzing naar de als productie 13 overgelegde e-mail van [persoon 1] (hierna: [persoon 1] ) van [datum] heeft aangevoerd doet niet af aan hetgeen het hof in rechtsoverweging 3.3 van voormeld tussenarrest heeft overwogen omtrent de considerans en de inhoud van de overeenkomst van samenwerking.,beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,"Daaruit blijkt dat [appellant] zich jegens [geïntimeerde] heeft verbonden tegen voldoening van een vergoeding een perceel grond ter beschikking te stellen ten behoeve van de bedrijfsmatige uitoefening van de landbouw, meer specifiek de fruitteelt, als bedoeld in artikel 7:311 in verbinding met artikel 7:312 BW.",beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,[appellant] heeft voorts met genoemde e-mail van [persoon 1] onvoldoende onderbouwd weersproken dat [geïntimeerde] in de aanvangsfase het overgrote deel van de werkzaamheden en daarna alle werkzaamheden naar eigen inzicht heeft (laten) verricht(en).,beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,[geïntimeerde] heeft zich hierover in zijn akte niet uitgelaten.,beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,"Dat [appellant] de investeringen voor zijn rekening zou nemen en dat beide partijen ondernemersrisico lopen in de zin dat beide partijen voor 50% delen in winst en verlies, maakt gelet op het voorgaande niet dat de rechtsverhouding tussen partijen niet als pacht dient te worden gekwalificeer",beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,"Hetgeen partijen daaromtrent ( [appellant] bij akte na tussenarrest, sub 3 en [geïntimeerde] bij akte na tussenarrest, sub I) hebben aangevoerd is onvoldoende voor een andersluidend oordeel. 2.4 Hetgeen [appellant] met verwijzing naar genoemde e-mail van [persoon 1] heeft aangevoerd doet evenmin af aan hetgeen het hof in rechtsoverweging 3.4 heeft overwogen omtrent het document “Bessen overzicht verdeling kosten/baten”, de e-mail van [datum] het document “saldo berekeningen toekomstige samenwerking” en de e-mail van [datum] Daarin wordt immers steeds met zoveel woorden gesproken van pacht. 2.5 Gelet hierop dient de gewone rechter zich onbevoegd te verklaren en dient de zaak ter verdere behandeling en beoordeling te worden verwezen naar de pachtkamer van dit hof (vgl. HR [datum] ECLI:NL:HR:2006:A",beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,Van strijd met de eisen van de goede procesorde is geen sprake.,beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,Dat de zaak vanwege de materiële aspecten van het geschil wordt behandeld door de bij uitstek daartoe geëquipeerde pachtrechter acht het hof van essentieel belang.,beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,Dit belang weegt zwaarder dan de omstandigheid dat partijen door verwijzing een instantie zou worden onthouden omdat zij zich hieromtrent in eerste aanleg niet hebben uitgelaten.,beoordeling,De verdere motivering van de beslissing in hoger beroep,1,Beoordeling,1
ECLI:NL:GHARL:2016:7748.txt,"Het hof, recht doende in hoger beroep: verwijst de zaak naar de pachtkamer van dit hof. Dit arrest is gewezen door [naam], [naam] en [naam] en is in tegenwoordigheid van de griffier in het openbaar uitgesproken op [datum]",None,De beslissing,1,Beslissing,0
ECLI:NL:GHDHA:2016:706.txt,Op [datum] is een nieuw Turks Burgerlijk Wetboek (Turks BW) in werking getreden.,None,Inhoudelijke beoordeling,1,Beoordeling,0
ECLI:NL:GHDHA:2016:706.txt,Voor invoering hiervan gold een algehele scheiding van goederen als wettelijk stelsel in Turkije.,None,Inhoudelijke beoordeling,1,Beoordeling,0
ECLI:NL:GHDHA:2016:706.txt,Sinds de invoering van het nieuwe wetboek is de algehele scheiding van goederen vervangen door het regime van verwervingsdeelneming.,None,Inhoudelijke beoordeling,1,Beoordeling,0
ECLI:NL:GHDHA:2016:706.txt,"Op grond van de invoeringswet blijft tussen echtgenoten die vóór [datum] zijn gehuwd, zoals in casu het geval is, het oude stelsel gelden.",None,Inhoudelijke beoordeling,1,Beoordeling,0
ECLI:NL:GHDHA:2016:706.txt,"Nu partijen niet hebben gekozen voor toepassing van een ander stelsel, geldt vanaf [datum] voor partijen het nieuwe Turkse wettelijk huwelijksgoederenregime.",None,Inhoudelijke beoordeling,1,Beoordeling,0
ECLI:NL:GHDHA:2016:706.txt,"Dit heeft tot gevolg dat goederen tot [datum] gescheiden blijven, terwijl goederen die vanaf [datum] zijn verkregen door het nieuwe regime van verwervingsdeelneming worden bestreken.",None,Inhoudelijke beoordeling,1,Beoordeling,0
ECLI:NL:GHDHA:2016:706.txt,De vrouw heeft gesteld dat partijen een gezamenlijke spaarrekening hadden waarvan het saldo moet worden verdee,proceshandelingen,Inhoudelijke beoordeling,1,Beoordeling,1
ECLI:NL:GHDHA:2016:706.txt,"Het had naar het oordeel van het hof op de weg van de vrouw gelegen om haar stelling deugdelijk, met relevante stukken te onderbouwen.",beoordeling,Inhoudelijke beoordeling,1,Beoordeling,1
ECLI:NL:GHDHA:2016:706.txt,De vrouw heeft zulks nagelaten.,beoordeling,Inhoudelijke beoordeling,1,Beoordeling,1
ECLI:NL:GHDHA:2016:706.txt,Zij heeft slechts bij faxbericht van [datum] een stuk betreffende het spaargeld van partijen op een bepaalde datum overgeleg,beoordeling,Inhoudelijke beoordeling,1,Beoordeling,1
ECLI:NL:GHDHA:2016:706.txt,"Het hof kan op grond van dit stuk en bij gebreke van overige stukken, niet vaststellen of er ten tijde van het huwelijk sprake was van een spaarrekening, op wiens naam die spaarrekening stond en hoe hoog het eventuele saldo van die spaarrekening was.",beoordeling,Inhoudelijke beoordeling,1,Beoordeling,1
